번호,지역명,정책명,정책유형,정책소개,사업운영기간,사업신청기간,주관기관
2105,경기,청년 면접정장 무료대여 사업,일자리,관내 구직 청년에게 면접 정장을 무료로 대여하여 취업 준비 부담 경감,2023.01.01.~2023.12.31.,"연중(정장 필요 2,3일 전, 공휴일 미포함이므로 미리 신청)",하남시청 청년일자리과
2106,경기,안산시 생생드리머 학생기자단,참여.권리,안산시 콘텐츠 발굴 및 홍보를 통하여 청년들의 지역에 대한 관심 증진,2022. 1. 1. ~ 2023. 12. 31.,"임기 만료 시 신규모집예정
*2021년 11월 3기 모집(활동 기간 : 2022.1.1.~2023.12.31.)",안산시청 공보관
2107,경기,안산시 대학생 본인부담 등록금 반값 지원,주거,"교육비 부담 경감 등 교육복지 실현을 통한 교육 하기 좋고, 아이 키우기 좋은 도시로 조성하여 지역사회 인재육성 및 역량강화",연중,"1차 : 2023년 04월 03일 ~ 2023년 05월 19일
2차 : 2023년 10월 02일 ~ 2023년 11월 17일",안산시청 평생학습원 교육청소년과
2108,경기,2023년 청년 창업자 임차료 지원,일자리,창업 초기 자본이 부족한 청년 창업자들을 위해 임차료의 일부를 보조,2023.01.-2023.12,"상반기 2023.01.09.~2023.01.26.(목) 18:00
하반기 2023.05.08.~2023.05.26.(금) 18:00",파주시 청년정책과
2109,경기,파주시 청년드림옷장,교육,청년들의 취업지원과 경제적 부담을 덜어주기 위해 면접정장 대여,2023.01.-2023.12.,2023. 1. 30. ~ 12. 15. (예산소진시 조기마감),파주시 청년정책과
2110,경기,청년해냄센터 운영,교육,"관내 청년 취,창업 교육 프로그램 운영 및 공간 대여",2023.01.01.-2023.12.31.,"신청기간 : 연중
※ 토요일, 공휴일 등 업무 시간 외 신청 시 다음 업무 시작 일에 처리되오니 유념하시기 바랍니다.
※ 최소 대관 일주일 전 신청해주시기 바랍니다.
- 운영시간 : 월~금 09:00~18:00(토요일?공휴일 휴무)",하남시청 청년일자리과
2111,경기,"청년일자리위원회 구성,운영",참여.권리,청년고용 촉진 및 지원에 관한 주요사항 심의,2023.01.-2023.12,-,파주시 청년정책과
2112,경기,청년위원회 운영,참여.권리,"청년에게 필요한 청년참여, 일자리, 문화개선, 생활지원 분야의 정책 심의와 의견 제시",2023.01.-2023.12,2023.01.20.~2023.01.31.,파주시 청년정책과
2113,경기,파주희망캠프,복지.문화,관내 주둔하고 있는 부대의 군장병 대상으로 인성교육 및 상담관 파견을 통한 건강하고 안전한 병영생활 지원,2023.01.~2023.12.,연초,파주시청 복지정책과
2114,경기,청년 장기연체 학자금대출 성실상환 지원,주거,분할상환약정을 맺고 장기연체 학자금대출을 성실하게 상환하는 청년에게 추가상환을 지원하여 조기상환 및 경제적 자립 지원,2023.01.~2023.12.,2023-01-16 09:00 부터 2023-06-30 18:00 까지,파주시 청년정책과
2115,경기,청년 면접 지원,교육,취업준비 청년들에게 구직비용 절감을 위한 면접정장대여 및 면접사진촬영 지원,2023. 2. ~ 2023. 12.(사업비 소진 시 조기종료 될 수 있음),2023. 2. 10.(금) ~ 2023. 12. 15.(금) ※ 예산소진 시 조기종료,화성시청 청년청소년정책과
2116,경기,대학생 직장체험연수 지원제,교육,"대학생에게 다양한 직장체험을 통하여 진로탐색과 경력형성 기회를 제공하고, 직업에 대한 폭넓은 인식과 직업의식 고취로 자신의 적성에 맞는 진로설계능력을 제고함으로써 노동시장으로의 원활한 이행을 지원","2023.01.-2023.02.(동계), 2023.06.-2023.07(하계)","*매년 2회 실시(1월, 7월)
연수신청은 연수실시 한 달 전 안성시청 홈페이지 공고 게시
23년 동계 : 2022.12.08.~2022.12.19.",일자리경제과
2117,경기,안성맞춤 채용박람회,교육,"전계층 구직자에게 다양한 취업기회를 제공하고 기업에게는 필요한 인재를 적기에 지원해 주는 행사로, 구인구직난과 일자리 미스매칭 해소를 위한 만남의 장 마련",2023.03.01.-2023.12.31.,2023.05-2023.11.(공고 참고),일자리경제과
2118,경기,청년정책위원회,참여.권리,청년 및 관련 전문가와의 네트워크 형성 및 청년맞춤형 정책 발굴,2023.1.-2023.12.,임기만료에 따른 결원 발생 시 청년위원 공개 모집,화성시청 청년청소년정책과
2119,경기,화성시 장학사업,주거,"대학생(재학생) 교육지원사업, 평생학습, 진흥,지역교육발전을 도모하고, 우수한 지역인재를 발굴하여 지역사회가 필요로 하는 인재양성",2023.1.~2023.12.,"매년 상반기 (꿈드림,주거비지원), 매년 하반기(특기, 더드림)",화성시청 평생교육과
2120,경기,화성시 장학관 운영,주거,"화성시 출신으로 수도권 소재 대학에 진학한 학생들의 경제적 부담을 경감하고 면학상의 제반편의를 제공함으로써, 지역사회와 국가발전에 중추적 역할을 담당하게 될 지역인재 육성",2023.01.-2023.12.,2023.1.10.~2023.1.25.,화성시청 평생교육과
2121,경기,청년 인구서포터즈(구.대학생 인구서포터즈),참여.권리,"청년에게 강의 및 토론, 캠페인 등의 활동을 통해 인구문제에 대한 인식 변화를 유도하고자 함",2023. 5.~2023. 12.,미정,화성시청 아동친화과
2122,경기,청년 공공인턴 운영,교육,대학생 및 청년들에게 진로탐색을 위한 공공부문 일경험 기회 제공,2023. 1. ~ 2023. 12.,"(겨울방학 대학생) 2023. 1. 6. ~ 1. 11.
(상반기 청년구직자) 2023. 2. 8. ~ 2. 15.
(여름방학 대학생) 2023. 6. 1. ~ 6. 7.
(하반기 청년구직자)",화성시청 청년청소년정책과
2123,경기,청년지원센터 운영,복지.문화,"청년들의 자유로운 휴식, 창의적 소통을 통한 사회관계망 형성 지원 및 취창업, 문화, 복지 등 다양한 청년활동 지원을 통한 사회진입 지원",2023.1.-2023.12.,희망 프로그램 공고문 참조(프로그램별 상이),화성시청 청년청소년정책과
2124,경기,2023년 화성시 창업지원플랫폼(가칭) 입주기업 모집,일자리,"저렴한 사용료의 업무공간 공급, 코워킹 및 회의공간 제공, 각종 창업프로그램 지원 등 종합보육 서비스 기능을 보유한 화성시 대표 창업 인프라에서 지역 선도기업으로 성장할 미래 스타트업 지원",2023.1.-2023.12.,2023.03.13(월) 09:00~2023.03.24(금) 17:00,-
2125,경기,창업보육센터지원,일자리,창업 여건이 취약하여 사업화에 어려움을 겪고 있는 초기창업 기업을 일정기간 입주시켜 창업에 필요한 종합적인 지원을 통하여 창업 활성화 및 성공률 제고,2023.1.-2023.12.,수시,화성시청 기업지원과
2126,경기,청년정책협의체,참여.권리,"청년 참여 확대 및 정책 의견 수렴, 청년정책(사업) 신규 발굴 및 네트워크 형성",2023.1.-2023.12.,2022.11.17.~12.1. 협의체 구성 후 상시 모집으로 전환,화성시청 청년청소년정책과
2127,경기,청년공간 경기내일스퀘어안산 상상대로 운영,교육,청년이 소통하고 교류하는 청년공간 운영,연중,상시,안산시청 청년정책관
2128,경기,안산시 청년큐브 및 디지털제조스튜디오 운영,일자리,창업기업에 공간 및 사업화를 지원하여 사업의 성공을 견인하고 일자리창출 및 지역 경제의 활력 제고,연중,2023.04.04.~2023.04.21.,안산시청 청년정책관
2129,경기,안산시 청년몰 운영,일자리,전통시장내 청년창업공간을 조성하여 창업을 통한 청년일자리 창출 및 전통시장 활성화 도모,연중,"공실 발생 및 지원 대상자 모집시
*'22년 기준 22.10.17.~모집완료시까지",안산시청 청년정책관
2130,경기,청년 취업홈런옷장,교육,청년들의 경제적 부담을 경감시키고 면접 자신감을 높여 취업성공으로 이어질 수 있도록 지원하는 취업서비스,연중,상시 *면접 3일전에 신청,안산시청 기획경제실 노동일자리과
2131,경기,안산시 청년인턴사업,교육,현장 실무경험을 통한 역량강화 및 진로탐색 기회를 제공하여 민간일자리로의 이전을 지원하기 위해 추진,연중,2023.07.24.~2023.07.31.,안산시청 청년정책관
2132,경기,중소기업 청년노동자 근속장려금 지원,교육,"청년들의 정규직 일자리 취업을 촉진하고 장기근속을 유도하며, 관내 중소기업의 인력난 해소와 대기업·중소기업의 임금격차 완화를 위한 사업",2023.01.01~2023.12.31.,"2023. 2. 1 ~ 2. 28
2023. 8. 1 ~ 8. 31
2024. 2. 1 ~ 2. 27",이천시청 일자리정책과
2133,경기,대학생 아르바이트 사업 추진,교육,방학기간 동안 관내 거주 대학생들에게 시정 참여 기회 제공,2023. 01 ~ 2023. 12,2023.03.08.~2023.03.16.,의왕시청 기업일자리과
2134,인천,취업지원 프로그램 운영,교육,공공일자리 참여 청년을 대상으로 취업지원 프로그램 등을 운영하여 취업역량 강화,2023.01.~2023.12.,미정,인천광역시 계양구 일자리정책과
2135,인천,부업대학생 운영,교육,대학생에게 공공기관의 다양한 직무체험을 통해 인천시정에 대한 이해 및 행정체험 기회 제공,동계 : 2023. 1. 5. ~ 1. 30. / 하계 : 2023. 7월(예정),동계(2023.01.05.~01.30.)/하계(2023.06.05.~06.12.),행정국 자치행정과
2136,인천,데이터·AI기술 활용인력 양성교육,교육,"지역 시민, 재직자, 학생 등을 대상으로 데이터 라벨링 교육을 통해 데이터에 대한 인식 제고 및 관련 기술 습득",2023. 1. ~ 12.,미정,미래산업국 데이터산업과
2137,인천,대학생 학자금대출 이자 지원,주거,2019년 1학기부터 한국장학재단으로부터 대출받은 학자금의 이자 지원,2023.01.01.~2023.12.31.,"· 상반기: 2023. 02. 15.(수) 9:00 ~ 03. 14.(화) 18:00
· 하반기: 2023. 08. 01.(화) 9:00 ~ 08. 31.(목) 18:00",-
2138,인천,"내일(Future, My Job)을 위한 청년 MRO 교육 추진",교육,"인천지역 항공고 ,마이스터고 졸업(예정)자 대상 MRO교육 및 취업연계",2023.01.01.~2023.12.31.,2023.3.~,경제산업본부 경제정책과
2139,인천,청년 주택 임차보증금 이자지원 사업,주거,높은 주택임차보증금과 대출금리 상승 등으로 경제적 어려움을 겪는 인천시 청년들에게 대출이자 지원을 통한 주거비 부담 완화와 주거생활 안정에 기여,2023.1.~12.,"19세 이상 39세 이하의 무주택 청년세대주 150명 지원
*인천시에 주소를 두거나 인천시로 전입예정인 자",청년정책담당관
2140,인천,인천형 청년월세 지원사업(만 35~39세),주거,인천시 만 35~39세 무주택 저소득 청년대상 월 최대 20만원씩 최장 12개월(회) 월세지원,2022.8.~2024.12.,2022.8.22. ~ 2023.8.21. (1년간),청년정책담당관
2141,인천,인천글로벌캠퍼스 학생기숙사 증축사업,주거,인천글로벌캠퍼스 재학생 기숙사 지원을 위한 건설사업 추진,2021.01.02.~2025.06.30.,미정,경제자유구역청 서비스산업유치과
2142,인천,검단신도시 워라밸빌리지 특화구역 청년주거단지 조성,주거,"청년층의 주거안정을 위한 주택공급과, 일과 삶의 균형을 실현할 수 있는 미래선도형 특화단지 조성",2020 ~ 2028,-,공사공단 인천도시공사
2143,인천,청년창업 희망스타트 지원사업,일자리,불법유흥업소를 청년창업공간으로 전환하여 지역재생과 청년창업 기회 제공,2023.01.01.~2023.12.31.,2023.02.20.~03.07.,일자리정책과
2144,인천,문화콘텐츠 전문인력 양성 및 취업지원,일자리,문화콘텐츠산업지원센터 입주기업에 청년의 취업지원으로 청년실업문제 해소 및 전문인력 양성으로 관련 산업 경쟁력 강화,2023.01.01.~2023.12.31.,미정,일자리정책과
2145,인천,청년정책네트워크 구성 및 운영,참여.권리,청년 정책을 발굴하고 실현하여 청년과 지역의 상생 발전을 꾀함,2023.01.01.~2023.12.31.,미정,일자리정책과
2146,인천,청년정책위원회 운영,참여.권리,청년정책에 관한 주요사항을 심의하고 전문적이고 다양한 청년정책 의견을 수렴하기 위해 운영하고자 함,2023. 1. ~ 12.,-,미래발전추진단
2147,인천,2040 지역발전협의체 운영,참여.권리,"청년들의 권리 및 참여 기회를 보장하는 2040지역발전협의체의 운영을 통해 관련 신규 사업을 적극 발굴하여 청년들의 구정 참여 활동을 확대하고, 역량을 제고하고자 함",2023. 1. ~ 12.,-,미래발전추진단
2148,인천,청년 행복꾸러미나눔,복지.문화,청년의 날을 맞아 청년정책 수요와 관련한 설문조사에 참여한 청년을 대상으로 추첨을 통해 행복꾸러미 제공,2023. 1. ~ 12.,미정,미래발전추진단
2149,인천,포스트코로나 중소기업 청년일자리 지원사업,일자리,관내 중소기업 청년 고용에 따른 인건비 지원,2023.01.01~2023.12.31,-,공동체협치과
2150,인천,선한가치 추구 창업청년서포트사업,일자리,선한가치를 추구하는 초기청년창업가에게 창업간접비지원 등을 지원하여 안정적인 창업기반 조성,2023.01.01~2023.12.31,-,공동체협치과
2151,인천,시간제청년근로자 장려금 지급 사업,주거,강화군에 거주하고 있는 시간제 청년근로자에게 장려금을 지급하여 청년의 복지향상과 취업역량 강화,2023.01.01.~2023.12.31.,매월 15일까지 방문접수,강화군청 경제교통과 지역경제팀
2152,인천,강화기업 청년일자리 지원사업,일자리,강화 소재 중소기업과 연계하여 미취업 청년 구직자의 취업촉진 및 경력형성 기회를 제공하고 기업체에게는 예산지원을 통한 우수인력지원으로 청년의 지역정착 및 지역경제활성화 도모,2023.03.01.~2023.12.31.,2023. 2 8. ~ 채용시까지,강화군청 경제교통과 지역경제팀
2153,인천,산단·공단 청년주택사업,주거,"산단·공단지역에 저렴한 청년임대주택을 건설하여, 사회초년생 및 산단 근로자에게 공급",2022 ~ 2028,-,공사공단 인천도시공사
2154,인천,"창업청년 스타트업 지원, 창업한청년 강화지원사업",일자리,"창업에 아이디어가 있는 초기창업자 및 기창업자를 대상으로 창업지원 교육 및 창업기반을 조성, 전문성을 발전시키고 우수기업으로 성장 유도",2023. 1.~2023.12.,2023. 2. ∼ 2023. 12. 31.,강화군청 경제교통과 지역경제팀
2155,인천,청년정책위원회 운영,참여.권리,청년정책 주요사항 심의 의결,2023.01.01.~2023.12.31.,미정,남동구 정책기획국 일자리정책과
2156,인천,청년의 날 기념 청년주간 운영,일자리,매년 9월 셋째주 청년의 날 기념 청년주간 운영,2023.01.01~2023.12.31,-,공동체협치과
2157,인천,중소기업 청년복지공유제 시행,일자리,"중소기업 재직청년 대상 대기업, 유관기관 공유가능 자원 연계 제공",2023.01.01~2023.12.31,-,공동체협치과
2158,인천,서구형 청년정책추진 (주민참여예산연계),참여.권리,"주민참여예산과 연계하여 청년대상 교육, 홍보 등을 통한 참여 확대",2023.01.01~2023.12.31,-,공동체협치과
2159,인천,청년센터 서구1939 운영,복지.문화,"일,쉼,배움까지 경험하는 청년종합지원공간",2023.01.01~2023.12.31,-,공동체협치과
2160,인천,청년친화공간 조성사업,복지.문화,서구 민간운영공간 5개소를 발굴하여 공간별 청년 활동 프로그램 개최,2023.01.01~2023.12.31,-,공동체협치과
2161,인천,청년창업 재정지원 사업,일자리,우수하고 창의적인 아이템을 가진 청년 창업자를 발굴하여 지역 우수 기업으로 성장 유도,2023.01.01.~2023.12.31.,모집완료 시까지 수시 모집,일자리창출과
2162,인천,청년정책조정위원회 및 청년네트워크 구성 및 운영,참여.권리,"청년층 의견수렴 및 청년정책 발굴, 청년정책에 관한 주요사항 심의조정",2023.01.01.~2023.12.31.,미정,일자리창출과
2163,인천,청년 영상콘텐츠 아카데미 운영,복지.문화,영상콘텐츠 교육을 통해 콘텐츠 제작능력을 강화함으로써 미디어 콘텐츠창업기반을 조성 및 미디어분야 청년인재 발굴,2023. 6월중,미정,남동구 정책기획국 일자리정책과
2164,인천,인천 청년공간 '유유기지 인천' 운영,교육,청년의 소통 및 교류를 활성화하며 사회진출을 위한 역량강화 프로그램 등 다채로운 청년서비스 제공,2023.1.1.~2023.12.31.(계속),2023.3.~ 11.30. (상시접수/계속),청년정책담당관
2165,인천,인천청년정책네트워크 구성운영,참여.권리,청년정책 소통의 창구로서 활동하는 인천청년네트워크 운영 및 지원,2022.1.~2023.12.31.,22년의 경우: 2022. 2. 24.(목) ~ 3. 21.(월),청년정책담당관
2166,인천,인천청년포털 고도화시스템 구축,참여.권리,청년들의 정책참여도 향상 및 사용자편의를 위한 온라인 신청접수관리 기능을 지원하는 온라인 원스톱시스템 구축,2023.1.~10.,-,청년정책담당관
2167,인천,인천 청년공간 확대 구축,참여.권리,청년의 쉼과 도약을 위한 청년공간 구축 및 권역별 청년공간을 매개하는 허브역할 청년종합지원센터 설치,2022. ~ 2025.,-,"청년정책담당관, 제물포르네상스개발과"
2168,인천,청년참여 위원회 확대,참여.권리,인천광역시 위원회의 청년 참여비율 확대를 통한 청년 주도의 정책 제안과 시정참여 확대를 통해 정책 실효성 제고,연중,미정,청년정책담당관
2169,인천,지역기반형 청년문화 활성화 사업,복지.문화,"청년 문화예술인력을 발굴 및 육성하고, 청년문화 향유 및 참여기회를 확대하여 청년이 만드는 문화, 문화가 다양한 인천 구현",2023.01.01.~2023.03.31.,2023.01.01~2023.12.31.,문화체육관광국 문화정책과
2170,인천,청년문화창작소 운영,복지.문화,청년창작자의 창작활동 지원 및 청년문화네트워크 활성화를 위한 공간운영,2023.01.01.~2023.12.31.,2023.01.01~2023.12.31.,문화체육관광국 문화정책과
2171,인천,자립준비청년 자립정착금 지원,복지.문화,자립준비청년의 안정적 자립여건 조성,2015. 1. ~ (계속),-,여성가족국 아동정책과
2172,인천,자립지원전담기관 운영,복지.문화,자립준비청년(보호종료아동)이 맞춤형 자립지원 서비스를 이용할 수 있도록 광역단위 자립지원 체계 마련 및 아동보호체계와의 연속성 확보,2021. ~ (계속),-,여성가족국 아동정책과
2173,인천,자립준비청년 자립수당 지급,복지.문화,아동복지시설 및 가정위탁 보호종료된 자립준비청년에게 자립수당을 지급하여 보호종료 후 경제적 부담을 완화하고 복지향상을 통해 사회정착 및 성공적 자립에 기여,2019. ~ (계속),-,여성가족국 아동정책과
2174,인천,청년커뮤니티 활성화 지원 사업,참여.권리,청년의 사회참여 확대화 능력발전 지원사업,2023.01.01.~2023.12.31.,2023.03.15.~04.03.,일자리정책과
2175,인천,창업 인프라 조성 사업(연수구 4차산업혁명 청년창업지원센터 운영),일자리,4차산업분야의 우수한 청년 창업자를 발굴육성하여 청년일자리 창출 및 창업 활성화 지원,2023.1.1~2023.12.31,2023.1.16~2.12,연수구청 일자리정책과
2176,인천,청년 면접비 지원사업(하반기 예정),교육,청년을 지원하는 종합적인 체계를 구축하여 지역청년 역량 제고를 위한 각종 사업 진행,2023.01.01.~2023.12.31.,2023.07.03.~08.21.,일자리정책과
2177,인천,우아한(우리와 아이가 행복한)출산문화 만들기,복지.문화,"생애주기별 가족계획, 맞벌이가족 프로그램, 일, 가정 양립 및 임산부 배려 캠페인",2023.01.01.~2023.12.31.,미정,보육정책과
2178,인천,동·하계 방학 대학생 행정체험연수,교육,연수구 거주 대학생에게 공직사회 경험을 제공함으로써 구정 이해도를 제고하고 행정체험연수 대상자 활동비 지급을 통해 경제적 자립 능력 성취 지원,"대학생 동하계 방학기간 중 20일 (동계 1월, 하계 7월)",동계(2023.01.09.~01.11)/하계(2023.06.14.~06.16.),연수구청 총무과
2179,인천,청년창업 특화거리 활성화,일자리,청년창업 특화거리 이미지 제고를 위한 특성화사업 지원,2023.01.01.~2023.12.31.,미정,일자리정책과
2180,인천,행복한 결혼문화 조성을 위한 혼인신고 포토존운영,복지.문화,"혼인신고 기념 즉석사진 촬영, 축하엽서 제공",2023.01.01.~2023.12.31.,미정,민원여권과
2181,인천,문화콘텐츠 청년창업 지원사업,일자리,문화콘텐츠산업지원센터에 조성된 청년창업공간에 입주할 문화콘텐츠 관련 청년창업가 발굴 및 지원,2023.01.01.~2023.12.31.,2023.01.20.~02.03,일자리정책과
2182,인천,(계양구) 2023년 대학생 구정체험 운영,교육,대학생들에게 구정에 대한 이해와 행정서비스 직접 체험 기회 제공,2023.01.~2023.12.,하계 : 2023. 6. 13. (화) 09:00 ~ 06. 19. (월) 18:00,인천광역시 계양구 자치행정과
2183,인천,2023년 청년인턴사업,교육,공공기관 업무 참여로 직무능력을 발굴할 수 있는 동기를 부여하여 한시적 일자리에 머무르지 않고 안정적 일자리로 전환될 수 있도록 다양한 지원책 마련,2023.01.~2023.12.,상반기: 2023. 1. 2. ~ 1. 12. 하반기: 6. 5. ~ 6. 15.,인천광역시 계양구 일자리정책과
2184,인천,푸를나이 JOB CON,교육,경제적 활동에 어려움을 겪고 있는 청년 예술인들에게 안정적인 일자리 제공 및 지역주민과 소외계층을 대상으로 문화 향유의 기회 제공,2023.02.27.~2023.12.31.,2023.01.16~ 2023.02.07,남동구 정책기획국 일자리정책과
2185,인천,대학생 행정체험연수 운영,교육,"방학기간 중 우리구에 거주하는 대학생들에게 공공기관 근무를 통해 사회생활 경험 및 구정 이해의 기회를 부여, 양질의 일자리 제공으로 대학생 학비 마련 기회 제공 및 경제적 자립 능력 향상에 도움","2023.01.02.~2023.01.27. (동계), 2023.7월중(하계)",동계(2022.12.01.~12.09.)/하계(2023.06.01.~06.09.),남동구 행정국 총무과
2186,인천,MZ하우스 및 안심거래 자문단 운영,참여.권리,"청년들의 주거 안정화를 위해 중개업소(깡통전세 미취급, 근절방안 모색), 안심거래자문단(계약관련 법률자문 및 상담)",2023.1.1~2023.12.31,상시,연수구청 공간정보과
2187,인천,연수구 창업상담창구 운영,일자리,창업 분야 전문가의 상담서비스를 통하여 초기 창업자 등의 창업 애로사항을 해소하고 성공적인 정착 및 성장 도모,2023.1.1~2023.12.31,상시,연수구청 일자리정책과
2188,인천,혁신성장기업 청년일자리 사업 참여자 지원,일자리,혁신성장기업 청년일자리 사업 참여자에게 자격증 시험 응시료와 교통비 지원,2023.01.01.~2023.12.31.,미정,일자리창출과
2189,인천,청년의 날 행사,참여.권리,청년의 날을 기념하여 지역청년과 교류할 수 있는 소통의 장 마련,2023.01.01.~2023.12.31.,미정,일자리창출과
2190,인천,청년도전 지원사업,교육,"구직단념청년을 발굴, 노동시장 참여 촉진지원",2023.01.01.~2023.12.31.,~2023.10.11.,일자리창출과
2191,인천,청년 맞춤형 주거안정 지원 교육,교육,"청년들을 대상으로 부동산 기초지식, 금융지식 등 교육 프로그램 운영",2023.01.01.~2023.12.31.,미정,일자리창출과
2192,인천,청년공간 유유기지부평 운영,교육,"청년 취창업 역량 강화 및 발전가능성 도모하기 위해 청년들의 자율 공간, 돌봄과 상생의 기획이 가능한 창조적 공유공간인 청년공간 유유기지 부평 운영",2023.01.01.~2023.12.31.,미정,일자리창출과
2193,인천,청년창업 컨설팅 지원,일자리,분야별 컨설팅 및 창업지원 교육,2023.01.01.~2023.12.31.,2023.05.30.~ 예산소진시,일자리창출과
2194,인천,청년주간 행사,복지.문화,청년 권리 보장 및 청년 발전의 중요성을 알리기 위한 청년의날 맞이 기념,2023.9월,미정,연수구청 일자리정책과
2195,인천,청년 정책위원회 운영,참여.권리,청년들의 권익증진과 발전을 위한 청년 정책 주요사항 심의·의결,2023.1.1~2023.12.31,미정,연수구청 일자리정책과
2196,인천,청년 소통 채널 구축 운영,참여.권리,청년층의 정책 정보 접근성 및 정책 홍보 효율성 제고,2023.1.1~2023.12.31,미정,연수구청 일자리정책과
2197,인천,청년 아카데미 운영,참여.권리,청년정책과정에 대한 이해도 제고 및 경제교육을 통한 청년 생활 안정 도모,2023.3~6월,2023.07.11.~08.22,연수구청 일자리정책과
2198,인천,청년네트워크 운영,참여.권리,청년들의 구정참여를 보장하고 청년정책 의제를 발굴할 수 있는 소통의 장 마련,2023.1.1~2023.12.31,2023.2.13~2023.3.1,연수구청 일자리정책과
2199,인천,공공일자리나누미사업(청년),일자리,우리구 실정을 반영한 공공일자리사업을 추진함으로써 취업 취약계층 및 청년실업자에게 직접일자리를 제공함으로써 저소득층의 생계를 도모하고자 함,연중,상반기/하반기(2023.05.08.~05.19.),일자리경제과
2200,인천,청년참여단 구성 및 운영,참여.권리,"청년의 구정 참여 보장, 청년을 위한 정책 개발 및 자립 기반 형성 등에 필요한 청년 지원 사업 발굴",2023.01.01.~2023.12.31.,미정,남동구 정책기획국 일자리정책과
2201,인천,청년의 날 행사,복지.문화,남동구 청년들이 직접 기획하고 주도하는 청년 행사를 통해 청년문화 활성화 및 청년 네트워크 형성을 통한 지역 공동체 의식 함양,2023. 9월중,미정,남동구 정책기획국 일자리정책과
2202,인천,청년미디어타워 운영,복지.문화,"청년들에게 다양한 장르의 음악(음원)생산 및 영상 제작 등 미디어 창작 활동을 할 수 있는 안정적 공간 제공, 미디어 산업분야의 진로 탐색과 체험을 통해 청년 창업 활동 지원 및 청년 일자리 창출",2023.01.01~2023.12.31,상시,남동구 정책기획국 일자리정책과
2203,인천,청년창업지원센터 운영,일자리,"좋은 아이디어를 가진 청년들에게 창업공간 무상제공, 취창업 교육, 전문가 멘토링 및 컨설팅 등 다양한 기본역량강화 교육 프로그램 지원을 통한 청년 창업가 육성",2023.01.01.~2023.12.31.,입주기업 퇴거 시 수시접수,남동구 정책기획국 일자리정책과
2204,인천,청년공동체 활성화 사업,참여.권리,"청년공동체를 발굴·확산하고, 지역과 연계한 청년공동체의 활동을 지원하여 지역활동의 기반을 마련하고 청년들의 지역 정착 유도",2023.1. ~ 12.,2023. 1. 16. ~ 2. 3. 18:00,청년정책담당관
2205,인천,청년중독관리사업,복지.문화,지역사회 청년 중독예방 및 청년 중독자의 사회복귀 지원을 위한 중독관리통합지원센터 중심의 지역자원 연계·서비스 강화,2022. 7. 1. ~,-,보건복지국 건강증진과
2206,인천,동구 청년일자리사업,교육,관내 청년층에 대한 행정인턴 체험 기회 제공,2023. 2. ~ 11.,"2023. 1. 9. ~ 2023. 1. 13.
2023. 7. 4. ~ 2023. 7. 10. (추가모집)",미래발전추진단
2207,인천,(동구) 청년 구직자 취업활동비용 지원,주거,"구직활동에 필요한 헤어, 메이크업, 사진촬영비, 정장대여비 등 지원",2023. 1. ~ 12.,2023.1.2. ~ 12.15.,미래발전추진단
2208,인천,청년복합공간 운영,복지.문화,청년들이 교류하고 도전하며 성장할 수 있는 청년 공간 조성,2022. 1. 1. ~,상시,미래발전추진단
2209,인천,군복무 청년 상해보험 지원,복지.문화,지자체 차원의 상해보험 보장제도를 도입하여 청년의 생활 안정과 의료보장 지원,2022. 1. 1. ~ 2023. 12. 31.,상시 접수,미래발전추진단
2210,인천,청년 자격시험 응시료 지원사업,교육,구직활동에 필요한 어학 및 각종 자격시험 응시료 실비지원,2023.3월~12월,"첫 신청일 : 2023. 3. 2.
첫 지급일 : 2023. 4. 20.
마지막 신청일 : 2023. 11. 30.
마지막 지급일 : 2023. 12. 20.",일자리경제과
2211,인천,청년 네트워크 운영,참여.권리,청년의 다양한 욕구와 의견을 반영한 현실적인 아이디어를 발굴하여 청년정책에 반영,연중,미정,일자리경제과
2212,인천,청년 실무형 지역인재 양성사업,교육,노동시장 초기 진출 청년 및 청년실업자에게 공공부문에서의 실무경험 제공 및 일자리 창출,2023.3.2.~2023.11.30.,상반기(2023.01.30.~02.10.)/하반기(2023.06.19.~06.30.),일자리경제과
2213,인천,청년 기업 육성 및 지원사업,일자리,"청년기업 육성 및 지원계획을 수립하여 청년의 창업 및 기업 활동을 적극적으로 촉진함으로써 청년의 경제적, 사회적 지위를 제고하고 기업의 경쟁력을 향상시켜 지역경제 활력을 도모",2023.01.01~2023.12.31,-,기업지원일자리과
2214,인천,청년네트워크 운영,참여.권리,청년의 소통과 참여를 통해 청년의견 수렴 및 구정 참여,2023.01.~2023.12.,미정,인천광역시 계양구 일자리정책과
2215,인천,인천 유니크베뉴 청년체험단,교육,청년들의 유니크베뉴 체험을 통한 마이스 집적시설 및 청년여가 문화 활성,2023.03.01.~2021.12.31.,22년의 경우: 2022. 3월,문화체육관광국 관광마이스과
2216,인천,취업성공 디딤돌 청년인턴,교육,미취업 청년의 행정경력 제공 및 취업역량강화교육으로 취업률 향상 도모,2023.01.01~2023.12.31,하반기 : 2023. 5.~ 2023. 6.,공동체협치과
2217,인천,청년정책위원회 구성 및 운영,참여.권리,청년정책 주요사항 심의 의결,2023.01.~2023.12.,미정,인천광역시 계양구 일자리정책과
