번호,정책유형,정책명,정책 요약,주관기관
968,일자리,경험형 스마트마켓 지원사업,오프라인에 특화된 경험요소와 스마트기기를 결합하여 색다른 소비경험을 제공하는 지원 사업,소상공인진흥공단
969,주거,청년 신용회복 지원(대학생 미취업청년지원),"채무연체 중인 대학생, 미취업 청년에게 취업 시까지 채무상환 부담을 경감",금융위원회
970,일자리,해외건설 현장훈련 지원사업,신규 채용자를 해외건설 현장에 파견한 중소 및 중견기업 지원을 통해 해외건설산업 일자리 창출과 고용안정을 도모하고 현장 전문가를 양성하여 우리기업의 해외진출 확대,국토교통부
971,교육,국민취업지원제도,취업을 원하는 사람에게 취업지원서비스를 종합적으로 제공하고 저소득 구직자에게는 생계를 위한 최소화의 소득을 지원하기 위한 제도,고용노동부
972,일자리,청년내일채움공제,"노동시장 신규 진입 청년의 초기 경력형성 및 장기근속을 지원하고, 중소기업에는 청년 인력의 유입을 통한 인력 미스매치 해소 지원",고용노동부
973,참여.권리,달리는 국민신문고,국민권익위원회의 권익구제 서비스를 모르거나 활용이 어려운 소외지역 및 취약계층 등을 직접 찾아가 현장에서 고충을 청취하고 해소하는 찾아가는 현장 권익구제 서비스,국민권익위원회
974,주거,국가근로장학금,안정적인 학업여건 조성과 취업역량 제고를 위한 장학금,한국장학재단
975,일자리,청년재직자 내일채움공제 플러스,"정부, 중소기업(제조업, 건설업) 사업주, 청년근로자(만 15세 이상 34세 이하, 6개월 이상 재직 중인 정규직 근로자)가 공동으로 적립한 공제금을 가입기간(3년)에 따라 장기재직한 청년근로자에게 성과보상금 형태로 지급하는 공제",중소벤처기업부
976,일자리,청년친화강소기업 선정,중소기업 인식개선 및 괜찮은 일자리로의 조기 입직을 유도하기 위해 청년이 선호하는 근로여건을 갖춘 청년친화강소기업 심사·선정 및 기업정보 제공,고용노동부
977,일자리,사회적기업가 육성사업,사회적 목적 실현 및 사업화 등 창업의 전 과정을 지원하고 사회적기업가 육성을 지원,고용노동부
978,주거,햇살론 유스,"신용이력이 부족해 금융접근성이 낮은 대학생, 미취업청년등이 이용할 수 있는 저리대출 서비스 정책",금융위원회
979,일자리,청년 농업인 스마트팜 대출,생애 최초 스마트팜 설치를 희망하는 청년농업인에게 대출 및 저금리 지원,농림축산식품부
980,주거,가정용 저녹스 보일러 설치 지원 사업,질소산화물(NOx) 등 대기오염물질 저감효과 및 에너지 효율이 높은 가정용 저녹스 보일러 보급 지원하여 국고보조금의 효율적 집행관리를 하기 위함.,환경부
981,참여.권리,국가연구개발사업 학생인건비 통합관리,청년과학기술인의 내실 있는 연구 수행을 위한 환경 개선 및 권익 강화,과학기술정보통신부
982,주거,(국민연금) 실업크레딧 지원,실업자의 노후소득 보장을 강화하기 위해 구직급여 수혜기간 동안 국민연금 보험료의 일부를 지원하고 그 기간을 연금 가입기간으로 산입하는 제도,"고용노동부,"
983,교육,고용복지플러스센터,"일자리, 복지, 서민금융 서비스를 한 곳에서 One-stop으로 지원하는 협업모델",고용노동부
984,주거,청년전용 버팀목전세자금,전세자금이 부족한 청년들에게 청년전용 버팀목 전세자금을 대출,국토교통부
985,주거,청년우대형 청약통장,청년의 내 집 마련 지원을 위해 청약 기능에 우대금리와 비과세 혜택을 제공,국토교통부
986,교육,지역주도형 청년일자리사업,지역의 현장을 가장 잘 이해하고 있는 지방자치단체가 지역 청년 일자리를 창출하기 위한 사업을 만들어 운영할 수 있도록 행정안전부가 지원,행정안전부
987,일자리,청년귀농 장기교육,"영농 경험이 부족한 청년층의 안정적인 농업, 농촌 정착지원을 위해 실습 중심의 장기 체류형 교육과정 지원",농림축산식품부
988,교육,청년도전지원사업,구직단념청년 등에게 구직의욕 고취 및 자신감 강화를 위한 맞춤형 프로그램을 제공하여 노동시장 참여 및 취업촉진 지원,고용노동부
989,참여.권리,청년정책 조정위원회 위촉직 위원,청년기본법 제13조에 따라 청년정책 주요사항을 심의하는 청년정책조정위원회(위원장:국무총리),국무조정실
990,주거,군 복무이자면제,취업후 상환 학자금대출 이용자 중 군 복무자에 대하여 실제 복무기간 동안 발생하는 약정이자를 면제,교육부
991,주거,청년전용 보증부 월세대출,청년들에게 낮은 이자로 전월세보증금 및 월세 대출 지원,국토교통부
992,일자리,스마트시티 혁신인재육성,스마트시티 산업계의 수요를 반영한 특성화 교육으로 산업 활성화 및 해외진출에 필요한 핵심 전문인력 양성,국토교통부
993,주거,2023 경차 유류세 환급 제도,유류비 부담을 경감 시켜주기 위한 제도,국세청
994,일자리,창조경제혁신센터 원스톱서비스존,"지역인재의 창의적인 아이디어 사업화 및 창업 지원을 위해 예비창업자부터 초기창업자(창업 후 3년 미만 기업)까지 사업화, 경영, 법률, 특허, 금융, 노무, 세무 등 맞춤형 1:1 멘토링 서비스 및 연계 지원 프로그램 등을 제공",중소벤처기업부
995,일자리,해외산림청년인재 육성 사업,"해외산림분야 직장 실무체험을 통해 글로벌 인재를 양성하는 프로그램 - 2021 : 국제산림협력기구, 해외산림자원개발기업 - 2022 : 기존+산림-ESG경영 연계 사업 및 REDD+ 등 해외 탄소흡수원 관련 해외 진출 계획을 수립한 기구·기업",산림청
996,일자리,중소기업 정책자금 융자계획,기술력과 사업성은 우수하나 자금이 부족한 중소기업과 벤처기업의 창업을 활성화하고 고용창출을 도모,중소벤처기업부
997,일자리,화학물질 안전관리 전문인력 양성사업,국내외 화학안전제도의 대응 및 이행역량을 확복하기 위해 교육생을 모집하여 인턴쉽(12주) 형태의 현장실무 기회 제공,환경부
998,주거,다자녀 국가장학금,다자녀 가구의 등록금 부담 경감을 위해 지원되는 장학금,교육부
999,교육,ICT 학점연계 프로젝트 인턴십,"국내외 기업에서 제안한 ICT분야 직무 중심의 프로젝트, 서비스 개발 등에 대학생이 참여하여 인턴십을 수행하고 이를 학점으로 인정받도록 지원하는 창의인재양성프로그램 사업",과학기술정보통신부
1000,주거,중소기업취업연계장학금(희망사다리장학금 I 유형),"중소, 중견기업 취업희망자 및 예비 창업자를 위한 장학금",한국장학재단
1001,일자리,K-Move 스쿨,"구인기업이 요구하는 어학 및 직무능력, 생활문화 등에 대한 맞춤형 교육(연수)과정 제공 후 해외취업 연계",고용노동부
1002,교육,국민내일배움카드,급격한 기술발전에 적응하고 노동시장 변화에 대응하는 사회안전망 차원에서 생애에 걸친 역량계발 향상 등을 위해 국민 스스로 직업능력개발훈련을 실시할 수 있도록 훈련비 등 지원,고용노동부
1003,교육,국가보훈부 취업지원대상자 취업능력개발비용 지원,국가보훈 대상자 및 유가족 취업지원대상자의 취업 경쟁력 향상을 위한 취업수강료 지원제도,국가보훈처
1004,복지.문화,청년마음건강지원사업,"우울감, 취업 애로 등으로 심리적 어려움을 겪고 있는 전국 청년을 대상으로 전문심리상담 서비스 제공",보건복지부
1005,주거,주거안정 월세대출,월세 부담으로 고민인 청년들에게 청년전용 주거안정 월세자금 대출,국토교통부
1006,복지.문화,탄소중립실천포인트제,일반국민의 탄소중립 생활실천문화 확산을 위하여 다양한 민간기업의 친환경활동 이용 시 이용실적에 따라 인센티브를 지원하는 제도,환경부
1007,교육,Wici(결혼이민여성) 취업지원프로그램,"여성결혼이민자들에게 다양한 취업관련 정보를 제공함으로써, 한국사회에서 성공적으로 취업할 수 있도록 지원하는 교육 프로그램",고용노동부
1008,주거,안심전환대출,변동금리 및 준고정금리(혼합형) 주택담보대출을 저금리의 장기-고정금리-분활상환 상품으로 갈아 탈 수 있는 우대형 안심전환 대출,금융위원회
1009,일자리,긴급경영안정자금(일시적경영애로),경영애로 해소 등 긴급한 자금소요를 지원하여 중소기업의 안정적인 경영기반 조성,중소벤처기업부
1010,일자리,희망리턴패키지(경영개선 및 재창업 사업화),재기를 희망하는 소상공인을 대상으로 경영개선 및 재창업 사업화 지원,중소벤처기업부
1011,일자리,[강원A+센터] 농식품벤처육성지원사업 모집공고(창업기업),"농산업, 식품 분야 기술기반 벤처창업기업을 발굴/ 지원",농림축산식품부
1012,일자리,선원정책 및 선원인력 역량강화 (청년해기인력 공급기반 강화),미 취업 청년해기인력을 대상으로 수요자 맞춤형 특화교육 및 취업 연계 지원으로 새로운 일자리 창출,해양수산부
1013,일자리,수산모태펀드 운용,정부와 민간이 매칭펀드(자펀드)를 결성하여 성장가능성이 있는 다양한 수산업체에 투자,해양수산부
1014,일자리,초기창업패키지,창업지원역량을 보유한 주관기관을 통해 업력 3년이내 창업기업에 아이템 사업화를 위한 자금 및 창업기업 수요기반의 맞춤형 프로그램을 제공하여 초기창업기업의 성장을 지원,중소벤처기업부
1015,주거,중소기업 취업청년 전월세보증금 대출,중소기업에 취업한 청년들에게 저리의 중소기업 취업청년 전월세보증금을 대출,국토교통부
1016,주거,고졸 후학습자 장학금(희망사다리장학금II유형),재직기간이 2년 이상인 고졸 후 학습자(선취업 후학습자)에게 대학 등록금 지원,교육부
1017,일자리,K-Shield 주니어,산업 현장 맞춤형 교육을 통한 내실있는 정보보호 전문인력 양성,과학기술정보통신부
1018,일자리,소셜벤처 경연대회,창의적이고 혁신적인 소셜벤처 아이디어 발굴/확산을 통한 사회적경제기업 창업 저변 확대 및 공감대 확산 ( 소셜벤처 : 사회문제 해결을 위한 창의적인 비즈니스 모델을 통해 사회적 가치와 경제적 수익을 창출하는 혁신적인 기업 모델),고용노동부
1019,주거,청년희망키움통장,"일하는 생계수급 청년이 가처분 소득 감소없이 자산을 축적하고, 근로 인센티브를 부여함으로써 탈수급 및 자립을 지원",보건복지부
1020,주거,청소년부모 아동양육비,자녀 양육과 학업/취업을 병행하고 있는 청소년 부모 (만 24세 이하) 가구에 자녀 1인당 월 20만 원의 아동 양육비를 지원하는 시범 사업,여성가족부
1021,일자리,여성가족형 예비사회적기업 활성화 사업,여성가족형 예비사회적기업 활성화를 통한 지속가능한 사회적가치의 확산 및 사회적 경제 영역에서 양질의 여성 친화적 일자리 창출 등에 기여,여성가족부
1022,주거,국가장학금 Ⅱ유형(대학연계지원형),대학의 적극적인 등록금 부담완화 참여를 도모하기 위해 대학 자체노력과 연계하여 지원하는 장학금,교육부
1023,주거,취업 후 상환 학자금대출,"학자금 지원 8구간 이하 학부생(만35세 이하) 및 학자금 지원 4구간 이하 대학원생(만40세 이하)에게 학자금(등록금 및 생활비)을 대출해주고, 취업 등 소득이 발생한 시점부터 소득수준에 따라 원리금을 상환하는 제도",한국장학재단
1024,주거,일반 상환 학자금대출,"학자금 지원 5구간 이상 학부생 및 대학원생(만 55세 이하)에게 학자금대출(등록금 및 생활비)을 지원하고, 대출기간 동안(거치기간 및 상환기간) 원리금을 분할하여 상환하는 제도",한국장학재단
1025,일자리,청년전용창업자금(창업기반지원자금),우수한 기술과 사업성은 있으나 자금이 부족한 중소 및 벤처기업의 창업을 활성화하고 고용창출을 도모하는 사업,중소벤처기업부
1026,주거,청년형 소득공제 장기펀드,청년의 삶 개선을 위한 청년 자산 형성 지원 정책,기획재정부
1027,교육,대학 진로탐색학점제 지원 사업,대학생이 한 학기 동안 자유롭게 진로탐색 활동을 설계하고 수행한 것을 학점으로 인정하는 제도,교육부
1028,주거,청년 사회적 주택(청년 사회주택 공급 활성화),"LH의 매입임대주택을 운영기관(비영리단체, 협동조합, 사회적기업 등)이 청년층 에게 주변 시세 50퍼센트 수준으로 커뮤니티 활동 등의 다양한 주거서비스를 함께 제공하는 사업",국토교통부
1029,일자리,해외취업알선,"대한민국 인재채용을 희망하는 해외업체에 구인서비스, 해외취업을 희망하는 구직자에게 일자리정보 제공",고용노동부
1030,복지.문화,청년층에 대한 정신건강 지원(마인드링크),마음이 힘들거나 스트레스로 지친 청소년 및 청년들에게 정신건강 상담과 서비스를 무료로 제공,보건복지부
1031,주거,청소년한부모 아동양육 및 자립지원,"만 24세 이하 청소년 한부모에게 아동양육비, 검정고시학습비, 자립촉진수당 등을 지원하여 조기 자립할 수 있도록 지원",여성가족부
1032,주거,지역인재장학금,지역대학의 우수 인재 유치 및 미래인재 양성을 위해 지원되는 장학금,한국장학재단
1033,일자리,국가식품클러스터 청년식품창업 Lab,유망 식품벤처기업을 발굴 육성함으로써 국가식품클러스터의 투자유치 가속화 및 일자리 창출에 기여 대학생?청년 등의 창업희망자에게 식품제작 실습기회와 창업관련 교육프로그램 제공 등으로 식품분야 성공창업 지원,농림축산식품부
1034,일자리,ICT학점연계프로젝트 인턴십,ICT 관련학과 대학생의 국내외 기업 인턴십 및 학점 연계 지원,과학기술정보통신부
1035,복지.문화,문화누리카드 지원,"삶의 질 향상과 문화격차 완화를 위해 기초생활수급자, 차상위계층을 대상으로 문화예술, 국내여행, 체육활동을 지원하는 카드",문화체육관광부
1036,일자리,해외취업정착지원금,해외취업에 성공한 도전적인 청년의 원활한 현지 정착과 장기근속을 위해 지원금 지급,고용노동부
1037,주거,보호종료아동 자립수당,"아동복지시설, 가정위탁 보호종료아동에게 매월 30만원의 자립수당을 지급하여 보호종료 후 경제적 부담을 완화하고 안정적인 사회 정착 및 복지 향상 지원",보건복지부
1038,일자리,생활체육지도자 활동 지원,생활체육 현장에 생활체육지도자를 배치하여 참가자에게 체육활동 참여 동기 부여 및 체계적인 생활체육 지도,문화체육관광부
1039,일자리,‘청춘마이크’ 사업을 통한 청년문화예술가 지원,문화가 있는 날에 청년 문화예술인들에게 무대와 공연사례비 지원 등 전문예술가로 성장할 수 있는 발판 제공,문화체육관광부
1040,일자리,(창업성공패키지 지원사업) 청년창업사관학교,유망 창업아이템 및 혁신기술을 보유한 우수 창업자를 발굴하여 창업사업화 등 창업 全 단계를 패키지 방식으로 일괄지원하여 성공창업기업 육성,중소벤처기업부
1041,복지.문화,군 복무 중 자기개발 지원 사업,"청년 장병들의 학업단절 및 경력단절을 극복하고 생산적인 군 복무 수행을 위해 학력신장, 자격취득 등 자기개발 활동 지원",국방부
1042,일자리,청년농업인 경쟁력 제고사업,농촌지역 고령화에 대응하여 청년 농업인의 성공모델을 구축하여 영농 초기정착 및 농촌유입 유도,농촌진흥청
1043,교육,농식품 청년 해외개척단(AFLO),청년들을 농식품 수출 전문인력으로 양성하기 위해 해외 신흥시장에 파견 후 현지 개척요원으로 활동할 수 있는 체험형 인턴 프로그램 지원,농림축산식품부
1044,주거,인문 100년 장학금,인문사회계열의 우수인재가 학업에 전념할 수 있는 환경을 조성함으로써 학문후속세대로의 성장 도모,한국장학재단
1045,일자리,내일채움공제,중소(중견)기업 사업주와 핵심인력이 공동으로 적립한 공제금을 가입기간에 따라 장기 재직한 핵심인력에게 성과보상금 형태로 지급하는 공제,중소벤처기업부
1046,일자리,농식품 벤처창업 인턴제,"농식품 기업의 인턴 실습을 통해 예비창업자의 경영, 마케팅 등 현장 실무지식 습득 및 성공창업 지원",농림축산식품부
1047,교육,금융감독원 e-금융교육센터 금융교육,"강의교육 및 정보제공 등을 통하여 국민의 금융상품에 대한 이해를 증진시키고, 금융에 내재된 위험과 기회를 인지하는 능력과 자신감을 향상시키는 과정",금융위원회
1048,일자리,"고속도로 휴게소 창업매장 (청년창업, 푸드트럭, 나이트카페 등)",청년의 창업 아이디어로 휴게소에서 영업할 수 있도록 공간과 임대료 지원,국토교통부
1049,일자리,전통시장 및 상점가 활성화 지원사업,전통시장의 활성화를 위한 청년상인 유입 촉진 및 청년 일자리 창출,중소벤처기업부
1050,일자리,혁신창업스쿨,"(예비)창업자를 대상으로 교육, 멘토링 등을 통해 비즈니스 모델을 구체화하고 최소요건제품 제작, 고객반응조사 등을 지원하여 비즈니스 모델 검증 및 보완",중소벤처기업부
1051,일자리,참 괜찮은 중소기업 플랫폼,"정부, 지자체 인증기업 중 우수 중소기업을 선정하여 소재, 기업정보, 채용현황 등 다양한 일자리정보를 제공하는 통합 정보제공 플랫폼",중소벤처기업부
1052,주거,농촌출신 대학생 학자금 융자,농어촌출신 학부생에게 등록금 전액을 무이자로 대출해줌으로서 농어업인 자녀들의 고등교육기회를 보장하는 대출제도,농림축산식품부
1053,일자리,초고속 정보통신기반 인력양성(2년제 학위과정),정보통신융합시대에 꼭 필요한 ICT 분야의 정보통신설비 시공 관련 전문 기능인력을 양성,과학기술정보통신부
1054,주거,"[신규개관] 대학생 연합생활관(롯데장학재단, 마포)",한국장학재단과 롯데장학재단이?상호협력하여 개관하는?대학생 연합생활관(서울시 마포구 소재),한국장학재단
1055,일자리,스타트업 AI 기술인력 양성,혁신 벤처·스타트업이 필요로 하는 인공지능 실무교육 제공 및 취·창업 연계지원,중소벤처기업진흥공단
1056,교육,현장연계 미래선도인재양성 지원사업,"이공계 대학생이 현장 경험을 쌓으며 산업체와 함께 현장 문제 해결을 위한 방안을 도출할 수 있도록, 연구 수행과 대학 공동 온라인 명품강좌 개발, 운영을 지원",과학기술정보통신부
1057,교육,재활용환경성평가 전문인력 양성과정,재활용환경성평가 제도에 따라 재활용환경성평가를 수행하기 위한 전문인력 양성 교육 및 기본역량 강화·자기개발을 위한 일반 교육 과정 제공,환경부
1058,교육,고용연계 전문인력 양성과정,환경산업 예비인력을 대상으로 환경기술(환경안전·보건 분야) 교육과정 운영 및 청년인력 취업 지원,고용노동부
1059,일자리,해외농업기술개발지원(글로벌농업인재 양성),대학생 또는 졸업생을 농촌진흥청 해외농업기술개발사업(KOPIA) 센터에 파견하여 국제적인 경험과 역량을 겸비한 글로벌농업인재로 양성,농촌진흥청
1060,주거,파란사다리(대학생 단기 해외연수 지원) 사업,자기개발과 진로개척에 꿈과 열정을 지닌 대학생에게 해외연수 경험을 지원,한국장학재단
1061,주거,대학 글로벌 현장학습,대학생에게 해외 현장학습 기회를 제공하여 글로벌 감각을 갖춘 핵심인재 양성을 위한 정부 인턴지원 프로그램,한국장학재단
1062,교육,이노베이션 아카데미,우수 SW 인재 육성을 위한 프로젝트 혁신 프로그램 지원,과학기술정보통신부
1063,일자리,[강원A+센터] 농식품벤처육성지원사업 모집공고(예비창업가),"농산업, 식품 분야 기술기반 벤처창업기업을 발굴/ 지원",농림축산식품부
1064,교육,기업인력애로센터 활용 청년취업 지원,"청년장병, 청년구직자 직무교육 및 중소기업 취업 연계를 통해 청년 구직난 및 중소기업 구인난 해소",중소벤처기업부
1065,교육,지역산업맞춤형 인력양성사업,중소기업 근로자의 인력 및 기술력에 대한 직무능력향상을 위해 중소기업과 컨소시엄을 구성하여 재직근로자들에게 다양한 직무능력향상교육을 제공하는 정책,고용노동부
1066,주거,청년 주거급여 분리지급,임차급여 또는 수선유지급여를 지급받는 수급 가구 내 만 19세 이상 30세 미만의 미혼 자녀를 대상으로 청년주거급여를 분리 지급,국토교통부
1067,일자리,테크노파크,지역 산학연관을 비롯한 지역현신기관과의 유기적인 협력 네트워크를 구축하고 지역 실정과 특성에 맞는 산업발전 전략 및 정책을 수립하여 지식기반 강소기술 기업을 발굴 육성하는 지역산업 육성의 거점 기관,중소벤처기업부
1068,교육,직업심리검사,"개인의 능력과 흥미, 성격 등 다양한 심리적 특성을 측정하여 자기 이해를 돕고 적합한 진로분야 선택을 돕기 위해 20여종의 심리검사 제공",고용노동부
1069,일자리,KF 글로벌 챌린저(청년 해외진출 활성화),"해외 주요 정책연구소, 박물관, 도서관, 대학 등 기관에서 연수생으로 활동하며 국제적 감각과 실무 경험을 쌓을 기회 제공",외교부
1070,복지.문화,임신/출산 진료비 지원제도,임산부와 영유아의 의료비 부담을 경감하여 출산친화적인 환경을 조성하고자 임신/출산 관련 진료비 등(급여/비급여)의 본인부담금 결제에 사용할 수 있는 이용권,보건복지부
1071,주거,내집 마련 디딤돌 대출,정부지원 3대 서민 구입자금을 하나로 통합한 저금리의 구입자금 대출,국토교통부
1072,교육,청년취업아카데미,"산업현장에서 필요한 교육과정을 대학생(원) 졸업(예정)자에게 제공하고 취업 또는 창직, 창업활동과 연계하는 사업",고용노동부
1073,교육,기업대학,고용보험에 가입된 기업 및 사업주단체가 단독 또는 공동으로 설립한 학위와 무관한 대학으로 자체시설(임차 포함)에서 직접 운영하는 기업대학,고용노동부
1074,교육,취업희망프로그램,"취업준비에 도움을 필요로 하는 경우, 자신을 돌아보고 이해하며 긍정적인 측면을 찾도록 하여 자신감 회복과 취업 희망(인간관계 향상과 취업 및 원만한 사회생활 적응)을 돕는 프로그램",고용노동부
1075,주거,청소년자립지원관,가출 등 위기청소년을 조기에 발굴하고 보호하여 자립할 수 있도록 지원,여성가족부
1076,주거,중소기업 장기근속자 주택우선공급,"중소기업 근로자로서 중소기업에 5년 이상 근무하거나 동일한 중소기업에 3년 이상 근무한 경력을 가진 무주택 세대구성원에게 국민주택 등을 우선적으로 공급하여, 주거생활을 안정화하고 중소기업으로 인력유입 촉진",중소벤처기업부
1077,일자리,산업혁신인재성장지원 (교육훈련),주력산업 및 신산업 육성을 선도할 전문인력 양성 및 활용을 통해 산업에 우수인력을 지속 공급하는 선순환 시스템 구축,산업통상자원부
1078,주거,집주인융자형임대주택자금,"주택도시기금 지원, 세금감면 등 공공지원을 바탕으로 민간이 소유한 주택을 LH에 위탁임대하고, LH는 대학생, 독거노인 등에게 저렴(시세 85퍼센트 수준)하게 공급 및 운영",국토교통부
1079,일자리,LH 희망상가,"일자리창출, 지역경제 활성화, 젠트리피케이션 방지 등 사회적 가치 실현을 위해 청년, 경력단절여성, 소상공인 등에게 장기간 저렴하게 임대하는 LH장기임대주택 단지내 임대상가.",국토교통부
1080,주거,입학금 지원 장학금(입학금 감축 대응지원),"입학금 감축계획을 이행한 대학의 당해 연도 신,편입, 재입학생에게 입학금의 일부를 지원",교육부
1081,주거,과학기술인으뜸적금,회원이 자율적으로 가입금액과 가입기간을 정하고 매월 납입하여 목돈을 모으는 정기적금형 상품,과학기술정보통신부
1082,일자리,재도전 성공패키지,성실한 실패경험과 우수한 아이템을 보유한 청년 (예비) 재창업자를 발굴·지원하여 성공적인 재창업 지원,중소벤처기업부
1083,교육,취업능력향상(행복오름) 프로그램 2,"근로능력수급자의 근로의욕 증진과 경력설계를 돕기 위해, 대상자의 취업능력 향상을 지원하고 맞춤형 취업지원이 이루어질 수 있도록 마련된 프로그램",고용노동부
1084,참여.권리,청년공동체 활성화 사업,"청년에게 꿈을, 지방에는 희망을! 청년공동체를 발굴, 확산하고, 지역과 연계한 청년공동체의 활동을 지원하여 청년들의 지역 정착과 지역활력 제고를 도모",행정안전부
1085,교육,NCS기반 능력중심 채용 및 공공/민간 블라인드 채용,직무능력중심으로 평가하는 블라인드 채용 확산 추진,고용노동부
1086,교육,일반고 특화 직업능력개발훈련과정,대학 진학이 아닌 취업을 희망하는 일반고 3학년생에게 맞춤형 직업능력개발훈련 기회 제공,고용노동부
1087,참여.권리,국민생각함,일상에서 마주하는 여러가지 공공의제 대해 서로 생각을 나누고 좋은 생각은 함께 발전시켜 정부정책으로 만듦,국민권익위원회
1088,교육,대학일자리(플러스)센터,"대학 내 취업지원부서, 여대생커리어센터 등 취업·창업지원 기능을 통합 및 연계하여 청년에게 원스톱 고용서비스 제공하며, 청년고용정책 안내 및 고용센터*지자체 등 유관기관과의 연계 프로그램 및 서비스 제공",고용노동부
1089,일자리,예술인 고용보험 정책,고용보험의 사각지대에 놓여 있던 자유활동가(프리랜서) 예술인들이 고용보험 적용을 통해 실업급여와 출산전후 급여 등의 수급을 통한 고용안전망 확충,고용노동부
1090,복지.문화,직업 트라우마 센터 운영,"직장생활 중 다양한 사건/사고(중대재해, 동료의 자살, 직장 내 괴롭힘, 성희롱, 성폭력, 정신적 피해 등)로 정신적 외상(직업적 트라우마)를 겪은 사람에게 무료 심리상담 제공",고용노동부
1091,주거,청년매입임대주택,국민의 주거안정을 위해 민간주택을 매입하여 임대해주는 정책,한국토지주택공사
1092,일자리,청년후계농(청년창업형 후계농) 선발 및 영농정착 지원사업,"청년들이 영농인으로 정착할 수 있도록 창농을 위한 토지 지원 및 경영 개선 자금, 교육 등을 제공",농림축산식품부
1093,교육,조기취업형 계약학과,"대학과 기업이 계약을 통해 현장실무역량을 갖춘 인력을 양성하는 제도로, 기업에서 필요로하는 인력양성을 위한 교육비의 일부를 부담하고 대학은 기업수요에 맞춰 교육과정을 개발 및 운영하여 기업에 인재를 공급하는 제도",교육부
1094,교육,청소년 근로권익센터,"청소년 근로자의 근로조건보호를 위한 근로 상담(온라인,전화,카톡) 및 무료 권리구제, 노동법 교육 등 지원",고용노동부
1095,교육,취업능력향상(행복오름) 프로그램 1,"근로능력수급자의 근로의욕 증진과 경력설계를 돕기 위해, 대상자의 취업능력 향상을 지원하고 맞춤형 취업지원이 이루어질 수 있도록 마련된 프로그램",고용노동부
1096,일자리,이달의 우수 중소기업 일자리,"구인 중인 우수 중소기업의 ""연봉 2,700만원 이상"", ""신입"", ""정규직""을 채용하는 우수공고를 선별하여 청년구직자에게 제공하고, 청년구직자와 우수기업 간 일자리 매칭을 지원",중소벤처기업부
1097,주거,빈곤 청년에 대한 근로인센티브 확대,"기초생활수급가구 청년의근로소득공제 확대, 근로인센티브 강화, 부양의무자 기준 완화 지원 등 빈곤 청년에 대한 근로인센티브 확대 본 정책은 별도의 지원 사업이 아니며, 기초생활수급자 선정 시 적용하는 완화된 기준입니다.",보건복지부
1098,일자리,국가인적자원개발 컨소시엄,"중소기업 재직근로자의 직업훈련 참여 확대와 신성장동력분야, 융복합분야 등의 전략산업 전문인력육성, 산업계 주도의 지역별 직업훈련기반 조성 등을 위해 공동훈련에 필요한 훈련 인프라와 훈련비 지원 사업",고용노동부
1099,일자리,해외취업아카데미,해외취업을 준비하는 청년들을 위한 해외취업 역량강화 교육,고용노동부
1100,교육,온라인청년센터,"청년들에게 실시간 상담, 청년정책정보, 청년공간 정보 등 제공",고용노동부
1101,교육,K-디지털 기초역량훈련,"- 청년, 중장년 등이 디지털 역량 부족으로 노동시장 진입/적응에 어려움을 겪지 않도록 디지털 기초역량 개발 지원",-
1102,교육,청년재단 멘토링,"취업을 준비하는 청년이 필요로 하는 멘토 특강, 소규모 컨설팅, 모의면접 코칭, 현직자 멘토링, AI 자기소개서 분석 등의 다양한 멘토링 프로그램 온/오프라인으로 지원",청년재단
1103,교육,공공기관 청년고용의무제,"청년실업 문제에 대응하여 공공부문에서 양질의 일자리 창출을 선도하고, 민간부문으로 파급함으로써 청년고용 촉진 도모",고용노동부
1104,일자리,산업혁신인재성장지원 (해외연계),해외 우수 연구기관과의 공동R_D 및 프로젝트 수행을 통한 글로벌 혁신인재 양성,산업통상자원부
1105,주거,자립준비청년 매입임대주택,LH에서 매입한 주택을 아동복지시설(가정위탁 포함) 퇴소 예정이거나 퇴소한지 5년이 지나지 아니한 자립준비청년에게 시중시세 40% 수준으로 임대하는 주택,한국토지주택공사
1106,교육,포레스트 청년 소셜 챌린저,"산림 관련 종사자와 대학(원)생의 사회적경제, 창업, 일자리 등 의견을 나눌 수 있는 소통의 장을 마련하여 새로운 아이디어 발굴 및 청년 사회적기업가 양성",산림청
1107,복지.문화,청년사회서비스사업단,지역별 청년사회서비스 사업단을 구성하여 지역 청년이 주체가 되어 지역 사회서비스를 제공함으로써 청년의 사회활동 참여 기회 보장과 지역주민 삶의 질 향상,보건복지부
1108,주거,사회복무요원 장병내일준비적금,사회복무요원의 목돈마련 지원을 위하여 ’22년부터 장병내일준비적금 가입자에게 사회복귀준비금(원리금의 33퍼센트 매칭)을 지급하는 정책,병무청
1109,일자리,해외 K-Move 센터 운영,"코트라 해외무역관 등을 활용하여 양질의 해외일자리 발굴 및 취업알선, 헬프데스크 운영을 통한 취업자 사후관리 및 애로사항 해소 지원, 현지 취업 박람회 개최를 통한 취업 지원 등",고용노동부
1110,일자리,국내해외취업센터 운영,"해외취업 아카데미 및 상시채용관 운영(면접 지원), 온·오프라인 상담서비스 및 전략설명회 등 해외취업 상담·지원",고용노동부
